Episode,Revenue,Reward,Bookings,Inventory_Left
666,109000,1055.0,27,73
667,105000,1005.0,26,74
668,113000,1115.0,28,72
669,117000,1165.0,29,71
670,113000,1115.0,28,72
671,105000,1015.0,26,74
672,96500,902.5,24,76
673,100500,962.5,25,75
674,100500,952.5,25,75
675,121000,1215.0,30,70
676,104500,1012.5,26,74
677,102000,1060.0,28,72
678,109000,1065.0,27,73
679,117000,1165.0,29,71
680,109000,1065.0,27,73
681,104000,1000.0,26,74
682,108500,1062.5,27,73
683,117000,1165.0,29,71
684,117000,1165.0,29,71
685,104500,1012.5,26,74
686,112500,1112.5,28,72
687,88500,852.5,24,76
688,107500,1057.5,27,73
689,109000,1065.0,27,73
690,103000,1005.0,26,74
691,105000,1015.0,26,74
692,109000,1065.0,27,73
693,113000,1115.0,28,72
694,117000,1165.0,29,71
695,112500,1112.5,28,72
696,113000,1115.0,28,72
697,117000,1165.0,29,71
698,121000,1215.0,30,70
699,96500,912.5,24,76
700,103500,1007.5,26,74
701,104500,1002.5,26,74
702,97000,915.0,24,76
703,108500,1062.5,27,73
704,86500,852.5,24,76
705,108500,1062.5,27,73
706,93000,895.0,24,76
707,105000,1015.0,26,74
708,104500,1012.5,26,74
709,109000,1055.0,27,73
710,109000,1065.0,27,73
711,108500,1062.5,27,73
712,109000,1065.0,27,73
713,109000,1065.0,27,73
714,121000,1215.0,30,70
715,108500,1062.5,27,73
716,104500,1002.5,26,74
717,105000,1005.0,26,74
718,117000,1165.0,29,71
719,98000,1000.0,27,73
720,100500,962.5,25,75
721,108500,1062.5,27,73
722,112500,1112.5,28,72
723,117000,1165.0,29,71
724,100500,962.5,25,75
725,97000,905.0,24,76
726,113000,1105.0,28,72
727,117000,1165.0,29,71
728,105000,1015.0,26,74
729,113000,1115.0,28,72
730,117000,1165.0,29,71
731,100500,962.5,25,75
732,113000,1105.0,28,72
733,104500,1002.5,26,74
734,117000,1165.0,29,71
735,109000,1065.0,27,73
736,113000,1115.0,28,72
737,121000,1215.0,30,70
738,112500,1112.5,28,72
739,86500,842.5,24,76
740,113000,1115.0,28,72
741,113000,1115.0,28,72
742,109000,1065.0,27,73
743,117000,1165.0,29,71
744,101000,965.0,25,75
745,108500,1062.5,27,73
746,117000,1165.0,29,71
747,117000,1165.0,29,71
748,101000,965.0,25,75
749,116500,1152.5,29,71
750,117000,1165.0,29,71
751,105000,1005.0,26,74
752,117000,1165.0,29,71
753,109000,1065.0,27,73
754,108500,1062.5,27,73
755,95000,965.0,26,74
756,108500,1062.5,27,73
757,117000,1165.0,29,71
758,113000,1115.0,28,72
759,106500,1112.5,29,71
760,116500,1162.5,29,71
761,117000,1165.0,29,71
762,110000,1160.0,30,70
763,94000,900.0,24,76
764,91000,905.0,25,75
765,112500,1112.5,28,72
766,96500,912.5,24,76
767,113000,1115.0,28,72
768,117000,1165.0,29,71
769,106000,1110.0,29,71
770,96500,902.5,24,76
771,109000,1065.0,27,73
772,117000,1165.0,29,71
773,85500,827.5,23,77
774,117000,1165.0,29,71
775,101000,965.0,25,75
776,109000,1065.0,27,73
777,117000,1165.0,29,71
778,109000,1065.0,27,73
779,98000,1010.0,27,73
780,113000,1115.0,28,72
781,109000,1065.0,27,73
782,113000,1115.0,28,72
783,109000,1065.0,27,73
784,117000,1165.0,29,71
785,113000,1115.0,28,72
786,109000,1055.0,27,73
787,113000,1115.0,28,72
788,102500,1062.5,28,72
789,108000,1050.0,27,73
790,100000,960.0,25,75
791,113000,1115.0,28,72
792,109000,1065.0,27,73
793,112500,1112.5,28,72
794,113000,1115.0,28,72
795,116500,1162.5,29,71
796,101000,1025.0,27,73
797,109000,1065.0,27,73
798,108500,1062.5,27,73
799,110500,1162.5,30,70
800,116000,1160.0,29,71
801,113000,1115.0,28,72
802,121000,1215.0,30,70
803,105500,1047.5,27,73
804,105000,1015.0,26,74
805,96500,912.5,24,76
806,117000,1165.0,29,71
807,101000,965.0,25,75
808,117000,1165.0,29,71
809,116500,1162.5,29,71
810,117000,1165.0,29,71
811,105000,1105.0,29,71
812,121000,1215.0,30,70
813,97000,915.0,24,76
814,121000,1215.0,30,70
815,105000,1015.0,26,74
816,117000,1165.0,29,71
817,104500,1012.5,26,74
818,105000,1015.0,26,74
819,97000,905.0,24,76
820,121000,1215.0,30,70
821,105000,1015.0,26,74
822,121000,1215.0,30,70
823,117000,1165.0,29,71
824,96500,902.5,24,76
825,116500,1162.5,29,71
826,116500,1162.5,29,71
827,99000,985.0,26,74
828,100500,952.5,25,75
829,113000,1115.0,28,72
830,98500,972.5,26,74
831,91500,847.5,23,77
832,121000,1215.0,30,70
833,113000,1115.0,28,72
834,109000,1065.0,27,73
835,113000,1105.0,28,72
836,109000,1065.0,27,73
837,101000,965.0,25,75
838,113000,1105.0,28,72
839,113000,1115.0,28,72
840,121000,1215.0,30,70
841,109000,1065.0,27,73
842,100000,960.0,25,75
843,112500,1112.5,28,72
844,103000,1065.0,28,72
845,104500,1012.5,26,74
846,117000,1165.0,29,71
847,109000,1065.0,27,73
848,112500,1112.5,28,72
849,112500,1112.5,28,72
850,112500,1112.5,28,72
851,109000,1065.0,27,73
852,113000,1115.0,28,72
853,90000,870.0,24,76
854,109000,1065.0,27,73
855,109000,1065.0,27,73
856,105000,1075.0,28,72
857,117000,1165.0,29,71
858,112500,1112.5,28,72
859,109000,1065.0,27,73
860,117000,1165.0,29,71
861,108000,1050.0,27,73
862,117000,1165.0,29,71
863,113000,1105.0,28,72
864,104500,1012.5,26,74
865,109000,1065.0,27,73
866,117000,1165.0,29,71
867,113000,1115.0,28,72
868,121000,1215.0,30,70
869,100500,962.5,25,75
870,112500,1112.5,28,72
871,117000,1165.0,29,71
872,112500,1112.5,28,72
873,113000,1115.0,28,72
874,112500,1112.5,28,72
875,108500,1062.5,27,73
876,108500,1062.5,27,73
877,109000,1065.0,27,73
878,117000,1165.0,29,71
879,117000,1165.0,29,71
880,117000,1165.0,29,71
881,113000,1115.0,28,72
882,100500,962.5,25,75
883,104500,1002.5,26,74
884,102500,1002.5,26,74
885,112500,1112.5,28,72
886,105000,1015.0,26,74
887,121000,1215.0,30,70
888,113000,1115.0,28,72
889,113000,1115.0,28,72
890,104500,1102.5,29,71
